Source,Hindi,Transliteration,Meaning
Basic Hindi,नमस्ते,namaste,Hello
Basic Hindi,क्या,kyaa,What
Basic Hindi,हाल,haal,Condition/Situation
Basic Hindi,सब,sab,All
Basic Hindi,ठीक,Thiik,Okay
Basic Hindi,और,aur,And
Basic Hindi,तुम,tum,You (Informal)
Basic Hindi,मैं,main,I
Basic Hindi,भी,bhii,too
Basic Hindi,चलना,chalanaa,to walk/to go
Basic Hindi,फिर,phir,again
Basic Hindi,परिचय,parichay,Introduction
Basic Hindi,आपका,aapkaa,Your (Honorific/Formal)
Basic Hindi,नाम,naam,Name
Basic Hindi,मेरा,meraa,My
Basic Hindi,कहाँ,kahaan,Where
Basic Hindi,आप,aap,You (Honorific/Formal)
Basic Hindi,कितना,kitnaa,How much/many
Basic Hindi,साल,saal,year
Basic Hindi,उम्र,umr,Age
Basic Hindi,यह,ye,"S/he, This"
Basic Hindi,लड़का,laRakaa,Boy
Basic Hindi,कौन,kaun,Who
Basic Hindi,अच्छा,achchhaa,Good/Well
Basic Hindi,धन्यवाद,dhanyawaad,Thanks
Basic Hindi,ख़ुशी,khushii,Happiness
Basic Hindi,मुझे,mujhe,To me (Dative case form of I)
Basic Hindi,अंग्रेज़ी,angrezii,English
Basic Hindi,राजनीति शास्त्र,raajniiti,shaastr Political Science
Basic Hindi,अर्थ शास्त्र,arth,shaastr Economics
Basic Hindi,प्रिय,priye,Dear
Basic Hindi,मेज़बान,mezabaan,Host
Basic Hindi,परिवार,pariwaar,Family
Basic Hindi,बाईस,baaiis,twenty two
Basic Hindi,साल,saal,year
Basic Hindi,विश्वविद्यालय,vishwa-vidyaalay,University
Basic Hindi,छात्रा,chhaatraa,Student (female)
Basic Hindi,मेरा,meraa,My
Basic Hindi,मेजर,major,Major
Basic Hindi,संगीत,sangiit,Music
Basic Hindi,राज्य,raajy,State
Basic Hindi,मगर,magar,But
Basic Hindi,रहना,rahanaa,To live
Basic Hindi,लोग,log,People
Basic Hindi,मिलना,milanaa,To meet
Basic Hindi,बहुत,bahut,Very
Basic Hindi,उत्साहित,utsaahit,Excited
Basic Hindi,आपकी,aapakii,Yours
Basic Hindi,अतिथी,atithii,Guest
Basic Hindi,परिवार,parivAra,Family
Basic Hindi,रिश्तेदार,rishtedAra,Relative
Basic Hindi,माँ / माता,mA.N / mAtA,Mother
Basic Hindi,पिता,pitA,Father
Basic Hindi,भाई,bhAI,Brother
Basic Hindi,भाभी,bhAbhI,Brother's wife Brother's wife
Basic Hindi,बहन / बहिन,bahana / bahina,Sister
Basic Hindi,बहनोई,bahanoI,Sister’s husband
Basic Hindi,दादा,dAdA,Paternal Grand father
Basic Hindi,दादी,dAdI,Paternal Grand mother
Basic Hindi,नाना,nAnA,Maternal Grand father
Basic Hindi,नानी,nAnI,Maternal Grand mother
Basic Hindi,चाचा,chAchA,Father’s brother
Basic Hindi,चाची,chAchI,Father’s brother’s wife
Basic Hindi,बुआ,buA,Father’s sister
Basic Hindi,फूफा,phUphA,Father’s sister’s husband
Basic Hindi,मामा,mAmA,Mother’s brother
Basic Hindi,मामी,mAmI,Mother’s brother’s wife
Basic Hindi,मौसी,mausI,Mother’s sister
Basic Hindi,मौसा,mausA,Mother’s sister’s husband
Basic Hindi,चचेरा भाई /चचेरी  बहन,chacherA bhAI /chacherI  bahana,Cousin brother-sister (kids of चाचा-चाची)
Basic Hindi,फूफेरा भाई /फूफेरी  बहन,phUpherA bhAI /phUpherI  bahana,Cousin brother-sister (kids of बुआ-फूफा)
Basic Hindi,ममेरा भाई / ममेरी बहन,mamerA bhAI / mamerI bahana,Cousin brother-sister (kids of मामा-मामी )
Basic Hindi,मौसेरा भाई / मौसेरी बहन,mauserA bhAI / mauserI bahana,Cousin brother-sister (kids of मौसा-मौसी )
Basic Hindi,सौतेला भाई / सौतेली बहन,sautelA bhAI / sautelI bahana,Half brother/sister Half brother/sister
Basic Hindi,पालतू कुत्ता / बिल्ली,pAlatU kuttA / billI,Pet dog / cat
Basic Hindi,पति,pati,Husband
Basic Hindi,पत्नी,patnI,Wife
Basic Hindi,बेटा,beTA,Son
Basic Hindi,बेटी,beTI,Daughter
Basic Hindi,बहू,bahU,Daughter-in-law
Basic Hindi,दामाद,dAmAda,Son-in-law
Basic Hindi,सास,sAsa,Mother-in-law
Basic Hindi,ससुर,sasura,Father-in-law
Basic Hindi,साला,sAlA,Brother-in-law (from the husband’s point of view)
Basic Hindi,साली,sAlI,Sister-in-law (from the husband’s point of view)
Basic Hindi,देवर,devara,Brother-in-law (from the wife’s point of view)
Basic Hindi,देवरानी,devarAnI,Wife of a brother-in-law (from the wife’s point of view)
Basic Hindi,ननद,nanada,Sister-in-law (from the wife’s point of view)
Basic Hindi,ननदोई,nanadoI,Husband of sister-in-law (from the wife’s point of view)
Basic Hindi,मेरा,merA,My
Basic Hindi,हमारा,hamArA,Our
Basic Hindi,तेरा,terA,Your
Basic Hindi,तुम्हारा,tumhArA,Your
Basic Hindi,आपका,ApakA,Your
Basic Hindi,इसका / उसका,isakA / usakA,His / Her
Basic Hindi,इनका / उनका,inakA / unakA,Their
Basic Hindi,किसका,kisakA,Whose (for singular)
Basic Hindi,किनका,kinakA,Whose (for plural)
Basic Hindi,छोटा,ChoTA,Small / Younger
Basic Hindi,बड़ा,barA,Big / Older
Basic Hindi,प्यारा,pyArA,Lovely
Basic Hindi,सुखी,sukhI,Happy
Basic Hindi,दुखी,dukhI,Sad
Basic Hindi,स्वच्छ,svachCha,Clean
Basic Hindi,साफ़,sAf,Clean
Basic Hindi,शुद्ध,shuddha,Pure
Basic Hindi,गन्दा,gandA,Dirty
Basic Hindi,कुशल,kushala,Skilled
Basic Hindi,अकुशल,akushala,Unskilled
Basic Hindi,अभियंता,abhiyaMtA,Engineer
Basic Hindi,सरल,sarala,Simple / Easy
Basic Hindi,मुश्किल,mushkila,Difficult/ Hard
Basic Hindi,महिला,mahilA,Woman
Basic Hindi,पुरुष,puruSha,Man
Basic Hindi,अच्छा,achChA,Good
Basic Hindi,बुरा,burA,Bad
Basic Hindi,ख़राब,khrAba,Bad
Basic Hindi,अध्यापिका,adhyApikA,Female teacher
Basic Hindi,होशियार,hoshiyAra,Intelligent
Basic Hindi,तेज़,teza,Intelligent / Fast/ clever
Basic Hindi,चतुर,chatura,Clever
Basic Hindi,मूर्ख,mUrkha,Foolish
Basic Hindi,सुन्दर,sundara,Beautiful
Basic Hindi,ख़ूबसूरत,khUbasUrata,Beautiful
Basic Hindi,बदसूरत,badasUrata,Ugly
Basic Hindi,कुरूप,kurUpa,Ugly
Basic Hindi,लंबा,laMbA,Tall
Basic Hindi,नाटा,nATA,Short (in height)
Basic Hindi,बूढ़ा /बूढ़ी,bUrhA /bUrhI,Old (For animate nouns)
Basic Hindi,पुराना / पुरानी,purAnA / purAnI,Old (For inanimate nouns)
Basic Hindi,सदस्य,sadasya,Member
Basic Hindi,लोग,loga,People
Basic Hindi,त्योहार,tyohAra,Festival
Basic Hindi,कुछ,kuCha,Some
Basic Hindi,धनी / अमीर,dhanI / amIra,Rich
Basic Hindi,निर्धन /गरीब,nirdhana /garIba,Poor
Basic Hindi,मोटा,moTA,Fat/Big
Basic Hindi,पतला,patalA,Thin
Basic Hindi,ईमानदार,ImAnadAra,Honest
Basic Hindi,बेईमान,beImAna,Dishonest
Basic Hindi,व्यापारी,vyApArI,Business man/woman
Basic Hindi,कुँवारी / कुँवारा,ku.NvArI / ku.NvArA,Unmarried woman/man
Basic Hindi,शादीशुदा,shAdIshudA,Married
Basic Hindi,मेहनती,mehanatI,Hard-working
Basic Hindi,आलसी,AlasI,Lazy
Basic Hindi,सामाजिक,sAmAjika,Social
Basic Hindi,कार्यकर्ता,kAryakartA,Worker
Basic Hindi,प्रसिद्ध,prasiddha,Famous
Basic Hindi,मशहूर,mashahUra,Famous
Basic Hindi,बदनाम,badanAma,Infamous
Basic Hindi,गायिका,gAyikA,Female singer
Basic Hindi,किसान,kisAna,Farmer
Basic Hindi,गृहिणी,gRRihiNI,House wife
Basic Hindi,दरवाज़ा,daravAzA,door बैठक n.f. Living room रसोई n.f. Kitchen
Basic Hindi,गलियारा,galiyArA,Corridor/Hallway पढ़ाई का कमरा n.m. Study room फ़र्श n.m. Floor
Basic Hindi,सीढ़ी,sIrhI,Staircase सोने का कमरा n.m. Bedroom खिड़की n.f. Window
Basic Hindi,छत,Chata,Roof छज्जा n.m. Balcony बगीचा n.m. Garden
Basic Hindi,शौचालय,shauchAlaya,Toilet स्नानघर n.m. Shower/Bathroom भोजन कक्ष (खाने का कमरा) n.m. dinning
Basic Hindi,दरी,darI,Rug बिस्तर n.m. Bed कुर्सी  n.f. Chair
Basic Hindi,मेज़,mez,Table सोफ़ा n.m. Sofa अलमारी n.f. Wardrobe
Basic Hindi,किताब,kitAba,Book पौधा n.m. Plant तस्वीर n.f. Picture
Basic Hindi,परदा,paradA,Curtain बत्ती n.f. Light bulb पंखा n.m. Fan
Basic Hindi,फूलदान/ गुलदस्ता,phUladAna/ guladastA,Flower vase घड़ी n.f. clock/watch आईना n.f. Mirror
Basic Hindi,सड़क,sarka,Road राजमार्ग n.m. Highway बस अड्डा n.m. Bus station
Basic Hindi,रेलवे स्टेशन,relave sTeshana,Railway station हवाईअड्डा n.m. Airport नदी n.f. River
Basic Hindi,तालाब,tAlAba,Pond झील n.f. Lake पहाड़ n.m. Mountain
Basic Hindi,सिनेमा घर,sinemA ghara,Cinema hall बैंक n.m. Bank मैदान n.m. Sports field
Basic Hindi,बाज़ार,bAzAra,Market दुकान n.f. Shop भोजनालय n.m. Restaurant
