Source,Hindi,Transliteration,Meaning
Daily Conversation - Greetings,विद्या: नमस्ते,Vidya: namaste,Vidya: Hello
Daily Conversation - Greetings,शिल्पा: नमस्ते,Shilpa: namaste,Shilpa: Hello
Daily Conversation - Greetings,विद्या: आपका नाम क्या है,Vidya: aapkaa naam kyaa hai,Vidya: What is your name
Daily Conversation - Greetings,शिल्पा: मेरा नाम शिल्पा है| और आपका,Shilpa: meraa naam shilpaa hai. aur aapkaa,Shilpa: My name is Shilpa. And yours
Daily Conversation - Greetings,विद्या: मेरा नाम विद्या है,Vidya: meraa naam Vidya hai,Vidya: My name is Vidya
Daily Conversation - Greetings,शिल्पा: आप कहाँ से हैं,Shilpa: aap kahaan se hain,Shilpa: Where are you from
Daily Conversation - Greetings,विद्या: मैं मिशिगन से हूँ | आप कहाँ से हैं,Vidya: main Michigan se hoon. aap kahaan se hain,Vidya: I am from Michigan. Where are you from
Daily Conversation - Greetings,शिल्पा: मैं शिकागो से हूँ,Shilpa: main Chicago se hoon,Shilpa: I am from Chicago
Daily Conversation - Greetings,विद्या: आप कितने साल की हैं,Vidya: aap kitane saal kii hain,Vidya: How old are you
Daily Conversation - Greetings,शिल्पा: मैं बीस साल की हूँ| आपकी उम्र कितनी है,Shilpa: main biis saal kii hoon. aapkii umr kitanii hai,Shilpa: I am 20. What is your age
Daily Conversation - Greetings,विद्या: मैं इक्कीस (साल) की हूँ,Vidya: main ikkiis (saal) kii hoon,Vidya: I am 21
Daily Conversation - Greetings,शिल्पा: आपका मेजर क्या है,Shilpa: aapkaa major kyaa hai,Shilpa: What is your major
Daily Conversation - Greetings,विद्या: मेरा मेजर अंग्रेज़ी है| और आपका,Vidya: meraa major angrezii hai. aur aapakaa,Vidya: My major is English. And yours
Daily Conversation - Greetings,शिल्पा: मेरा मेजर राजनीति शास्त्र है,Shilpa: meraa major raajaniiti shaastra hai,Shilpa: My major is Political science
Daily Conversation - Greetings,विद्या: यह लड़का कौन है,Vidya: ye laRakaa kaun hai,Vidya: Who is this boy
Daily Conversation - Greetings,शिल्पा: यह पीटर है,Shilpa: ye Peter hai,Shilpa: He is Peter
Daily Conversation - Greetings,विद्या: नमस्ते पीटर,Vidya: namaste Peter,Vidya: Hello Peter
Daily Conversation - Greetings,पीटर: नमस्ते ! आपका नाम क्या है,Peter: namaste! aapkaa naam kyaa hai,Peter: Hello! What is your name
